,title,author,content
10,Pequeno poema,Sebastião da Gama,"Quando eu nasci,
ficou tudo como estava,
Nem homens cortaram veias,
nem o Sol escureceu,
nem houve Estrelas a mais...
Somente,
esquecida das dores,
a minha Mãe sorriu e agradeceu.

Quando eu nasci,
não houve nada de novo
senão eu.

As nuvens não se espantaram,
não enlouqueceu ninguém...

P'ra que o dia fosse enorme,
bastava
toda a ternura que olhava
nos olhos de minha Mãe..."
11,A maior solidão é a do ser que não ama,Vinicius de Moraes,"A maior solidão é a do ser que não ama. A maior solidão é a dor do ser que se ausenta, que se defende, que se fecha, que se recusa a participar da vida humana.

A maior solidão é a do homem encerrado em si mesmo, no absoluto de si mesmo,
o que não dá a quem pede o que ele pode dar de amor, de amizade, de socorro.

O maior solitário é o que tem medo de amar, o que tem medo de ferir e ferir-se,
o ser casto da mulher, do amigo, do povo, do mundo. Esse queima como uma lâmpada triste, cujo reflexo entristece também tudo em torno. Ele é a angústia do mundo que o reflete. Ele é o que se recusa às verdadeiras fontes de emoção, as que são o patrimônio de todos, e, encerrado em seu duro privilégio, semeia pedras do alto de sua fria e desolada torre."
12,Como eu te amo,Gonçalves Dias,"Como se ama o silêncio, a luz, o aroma,
O orvalho numa flor, nos céus a estrela,
No largo mar a sombra de uma vela,
Que lá na extrema do horizonte assoma;

Como se ama o clarão da branca lua,
Da noite na mudez os sons da flauta,
As canções saudosíssimas do nauta,
Quando em mole vaivém a nau flutua,

Como se ama das aves o gemido,
Da noite as sombras e do dia as cores,
Um céu com luzes, um jardim com flores,
Um canto quase em lágrimas sumido;

Como se ama o crepúsculo da aurora,
A mansa viração que o bosque ondeia,
O sussurro da fonte que serpeia,
Uma imagem risonha e sedutora;

Como se ama o calor e a luz querida,
A harmonia, o frescor, os sons, os céus,
Silêncio, e cores, e perfume, e vida,
Os pais e a pátria e a virtude e a Deus:

Assim eu te amo, assim; mais do que podem
Dizer-to os lábios meus, - mais do que vale
Cantar a voz do trovador cansada:
O que é belo, o que é justo, santo e grande
Amo em ti. - Por tudo quanto sofro,
Por quanto já sofri, por quanto ainda
Me resta de sofrer, por tudo eu te amo.
O que espero, cobiço, almejo, ou temo
De ti, só de ti pende: oh! nunca saibas
Com quanto amor eu te amo, e de que fonte
Tão terna, quanto amarga o vou nutrindo!
Esta oculta paixão, que mal suspeitas,
Que não vês, não supões, nem te eu revelo,
Só pode no silêncio achar consolo,
Na dor aumento, intérprete nas lágrimas.

De mim não saberás como te adoro;
Não te direi jamais,
Se te amo, e como, e a quanto extremo chega
Esta paixão voraz!

Se andas, sou o eco dos teus passos;
Da tua voz, se falas;
o murmúrio saudoso que responde
Ao suspiro que exalas.

No odor dos teus perfumes te procuro,
Tuas pegadas sigo;
Velo teus dias, te acompanho sempre,
E não me vês contigo!

Oculto e ignorado me desvelo
Por ti, que me não vês;
Aliso o teu caminho, esparjo flores,
Onde pisam teus pés.
Mesmo lendo estes versos, que m'inspiras,
- ""Não pensa em mim"", dirás:
Imagina-o, se o podes, que os meus lábios
Não to dirão jamais!

Sim, eu te amo; porém nunca
Saberás do meu amor;
A minha canção singela
Traiçoeira não revela
O prêmio santo que anela
O sofrer do trovador!

Sim, eu te amo; porém nunca
Dos lábios meus saberás,
Que é fundo como a desgraça,
Que o pranto não adelgaça,
Leve, qual sombra que passa,
Ou como um sonho fugaz!

Aos meus lábios, aos meus olhos
Do silêncio imponho a lei;
Mas lá onde a dor se esquece,
Onde a luz nunca falece,
Onde o prazer sempre cresce,
Lá saberás se te amei!

E então dirás: Objeto
Fui de santo e puro amor:
A sua canção singela;
Tudo agora me revela;
Já sei o prêmio que anela
O sofrer do trovador.

""Amou-me como se ama a luz querida,
Como se ama o silêncio, os sons, os céus,
Qual se amam cores e perfume e vida,
Os pais e a pátria, e a virtude e a Deus!""
"
13,Da alma e de quanto tiver,Luís de Camões,"Da alma e de quanto tiver
Quero que me despojeis,
contanto que me deixeis
Os olhos para vos ver."
14,Tu tens um medo,Cecília Meireles,"Tu tens um medo:
Acabar.
Não vês que acabas todo o dia.
Que morres no amor.
Na tristeza.
Na dúvida.
No desejo. 
Que te renovas todo o dia. 
No amor. 
Na tristeza.
Na dúvida.
No desejo.
Que és sempre outro.
Que és sempre o mesmo.
Que morrerás por idades imensas.
Até não teres medo de morrer.

E então serás eterno."
15,Fanatismo,Florbela Espanca,"Minh’alma, de sonhar-te, anda perdida.Meus olhos andam cegos de te ver.Não és sequer razão do meu viverPois que tu és já toda a minha vida!Passo no mundo, meu Amor, a lerNo mist’rioso livro do teu serA mesma história tantas vezes lida!...<“Tudo no mundo é frágil, tudo passa...”Quando me dizem isto, toda a graçaDuma boca divina fala em mim!“Ah! podem voar mundos, morrer astros,Que tu és como Deus: princípio e fim!...”"
16,Amigo,Alexandre O'Neill,"Mal nos conhecemos
Inauguramos a palavra amigo!

Amigo é um sorriso
De boca em boca,
Um olhar bem limpo

Uma casa, mesmo modesta, que se oferece.
Um coração pronto a pulsar
Na nossa mão!

Amigo (recordam-se, vocês aí,
Escrupulosos detritos?)
Amigo é o contrário de inimigo!

Amigo é o erro corrigido,
Não o erro perseguido, explorado.
É a verdade partilhada, praticada.

Amigo é a solidão derrotada!

Amigo é uma grande tarefa,
Um trabalho sem fim,
Um espaço útil, um tempo fértil,
Amigo vai ser, é já uma grande festa!"
17,Súplica,Miguel Torga,"Agora que o silêncio é um mar sem ondas, 
E que nele posso navegar sem rumo,
Não respondas
Às urgentes perguntas
Que te fiz.
Deixa-me ser feliz
Assim,
Já tão longe de ti como de mim.

Perde-se a vida a desejá-la tanto. 
Só soubemos sofrer, enquanto 
O nosso amor 
Durou. 
Mas o tempo passou, 
Há calmaria... 
Não perturbes a paz que me foi dada. 
Ouvir de novo a tua voz seria 
Matar a sede com água salgada."
18,A Hora da Partida,Sophia de Mello Breyner Andresen,"A hora da partida soa quandoEscurece o jardim e o vento passa,Estala o chão e as portas batem, quandoA noite cada nó em si deslaça.A hora da partida soa quandoAs árvores parecem inspiradasComo se tudo nelas germinasse.Soa quando no fundo dos espelhosMe é estranha e longínqua a minha faceE de mim se desprende a minha vida."
19,"Para ser grande, sê inteiro: nada",Fernando Pessoa,"Para ser grande, sê inteiro: nada
Teu exagera ou exclui.
Sê todo em cada coisa. Põe quanto és
No mínimo que fazes.
Assim em cada lago a lua toda
Brilha, porque alta vive."
